shape_idx,orig_label,rf_label,n_points_orig,n_points_rf,label_match,recovered_vertices,cap_strict,cap_bidir,align_rmse,mean_nn_dist,distance_threshold,recovered_indices,visualization_path
13,wall,wall,10,11,1,10,1.000000,1.000000,0.347757,0.093731,20.000000,2 3 4 5 6 7 8 9 0 1,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_013_wall.png
14,wall,wall,6,7,1,6,0.000000,1.000000,10.126024,8.848836,20.000000,5 4 3 2 1 0,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_014_wall.png
15,wall,wall,8,9,1,8,0.000000,0.625000,11.740754,7.446319,20.000000,2 6 5 4 3 1 0 7,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_015_wall.png
16,wall,wall,4,5,1,4,0.000000,1.000000,8.401559,13.571214,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_016_wall.png
17,wall,wall,4,5,1,4,0.000000,1.000000,4.926989,6.917769,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_017_wall.png
18,wall,wall,4,5,1,4,0.250000,0.500000,7.531138,9.789719,20.000000,0 2 1 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_018_wall.png
19,wall,wall,4,5,1,4,0.000000,1.000000,8.006494,15.716242,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_019_wall.png
20,wall,wall,8,9,1,8,0.000000,1.000000,2.083956,2.185555,20.000000,7 6 5 4 3 2 1 0,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_020_wall.png
21,wall,wall,4,5,1,4,0.250000,0.500000,7.058313,9.163653,20.000000,0 2 1 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_021_wall.png
22,wall,wall,4,5,1,4,1.000000,1.000000,0.163447,0.168324,20.000000,2 3 0 1,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_022_wall.png
23,wall,wall,4,5,1,4,0.000000,1.000000,4.522463,13.858685,20.000000,0 3 2 1,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_023_wall.png
24,wall,wall,4,5,1,4,0.250000,0.500000,3.141785,7.515959,20.000000,0 2 1 3,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_024_wall.png
25,wall,wall,18,19,1,18,1.000000,1.000000,10.516563,0.970064,20.000000,2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 0 1,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_025_wall.png
26,wall,wall,6,7,1,4,0.000000,0.750000,13.892753,9.816661,20.000000,1 0 3 2,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_026_wall.png
27,wall,wall,6,7,1,6,1.000000,1.000000,0.214580,0.149764,20.000000,2 3 4 5 0 1,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_027_wall.png
28,wall,wall,4,5,1,4,0.250000,0.500000,4.253570,7.587246,20.000000,1 3 0 2,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_028_wall.png
29,wall,wall,12,13,1,12,1.000000,1.000000,2.768744,0.459479,20.000000,2 3 4 5 6 7 8 9 10 11 0 1,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_029_wall.png
30,wall,wall,22,23,1,22,0.000000,1.000000,6.682813,1.565445,20.000000,21 20 19 18 17 16 15 14 13 12 11 10 9 8 7 6 5 4 3 2 1 0,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_030_wall.png
31,wall,wall,4,5,1,4,0.000000,1.000000,7.898301,10.415090,20.000000,1 0 3 2,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_031_wall.png
32,wall,wall,4,5,1,4,0.250000,0.500000,4.535863,7.575650,20.000000,1 3 0 2,roboflow\cap_evaluation\TE_C_00006\TE_C_00006_png.rf.34e5e88541409c5b0147bb4fdc60bf57\visualizations\shape_032_wall.png
